Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(5, 5)",1,32,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,32,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,relu,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",1,32,sigmoid,0.4,32,50,0.001,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,sigmoid,0.4,32,50,0.001,softmax,0.3424657583236694
1,32,"(5, 5)",1,32,sigmoid,0.4,32,50,0.01,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,32,sigmoid,0.4,32,50,0.01,softmax,0.3253424763679504
1,32,"(5, 5)",1,32,sigmoid,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,sigmoid,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",1,32,tanh,0.4,32,50,0.001,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,tanh,0.4,32,50,0.001,softmax,0.3321917951107025
1,32,"(5, 5)",1,32,tanh,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,tanh,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,32,tanh,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,32,tanh,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",1,64,relu,0.4,32,50,0.001,sigmoid,0.9634703397750854
1,32,"(5, 5)",1,64,relu,0.4,32,50,0.001,softmax,0.7602739930152893
1,32,"(5, 5)",1,64,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,64,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,64,relu,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,64,relu,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",1,64,sigmoid,0.4,32,50,0.001,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,64,sigmoid,0.4,32,50,0.001,softmax,0.3321917951107025
1,32,"(5, 5)",1,64,sigmoid,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,64,sigmoid,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(5, 5)",1,64,sigmoid,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,64,sigmoid,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",1,64,tanh,0.4,32,50,0.001,sigmoid,0.6575342416763306
1,32,"(5, 5)",1,64,tanh,0.4,32,50,0.001,softmax,0.3150684833526611
1,32,"(5, 5)",1,64,tanh,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,64,tanh,0.4,32,50,0.01,softmax,0.3219178020954132
1,32,"(5, 5)",1,64,tanh,0.4,32,50,0.1,sigmoid,0.3344748914241791
1,32,"(5, 5)",1,64,tanh,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",1,128,relu,0.4,32,50,0.001,sigmoid,0.9646118879318236
1,32,"(5, 5)",1,128,relu,0.4,32,50,0.001,softmax,0.956620991230011
1,32,"(5, 5)",1,128,relu,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,128,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",1,128,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",1,128,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",1,128,sigmoid,0.4,32,50,0.001,sigmoid,0.3253424763679504
1,32,"(5, 5)",1,128,sigmoid,0.4,32,50,0.001,softmax,0.3253424763679504
1,32,"(5, 5)",1,128,sigmoid,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",1,128,sigmoid,0.4,32,50,0.01,softmax,0.3253424763679504
