Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,64,sigmoid,0.001,32,50,0.7990867579908676
1,64,sigmoid,0.001,32,70,0.8116438356164384
1,64,sigmoid,0.001,64,10,0.4965753424657534
1,64,sigmoid,0.001,64,30,0.7031963470319634
1,64,sigmoid,0.001,64,50,0.7853881278538812
1,64,sigmoid,0.001,64,70,0.79337899543379
1,64,sigmoid,0.01,16,10,0.8036529680365296
1,64,sigmoid,0.01,16,30,0.819634703196347
1,64,sigmoid,0.01,16,50,0.8105022831050228
1,64,sigmoid,0.01,16,70,0.8047945205479452
1,64,sigmoid,0.01,32,10,0.8105022831050228
1,64,sigmoid,0.01,32,30,0.795662100456621
1,64,sigmoid,0.01,32,50,0.8184931506849316
1,64,sigmoid,0.01,32,70,0.8013698630136986
1,64,sigmoid,0.01,64,10,0.7853881278538812
1,64,sigmoid,0.01,64,30,0.8013698630136986
1,64,sigmoid,0.01,64,50,0.8036529680365296
1,64,sigmoid,0.01,64,70,0.815068493150685
1,64,sigmoid,0.1,16,10,0.569634703196347
1,64,sigmoid,0.1,16,30,0.6461187214611872
1,64,sigmoid,0.1,16,50,0.6506849315068494
1,64,sigmoid,0.1,16,70,0.6757990867579908
1,64,sigmoid,0.1,32,10,0.632420091324201
1,64,sigmoid,0.1,32,30,0.6404109589041096
1,64,sigmoid,0.1,32,50,0.6552511415525114
1,64,sigmoid,0.1,32,70,0.6643835616438356
1,64,sigmoid,0.1,64,10,0.6449771689497716
1,64,sigmoid,0.1,64,30,0.6837899543378996
1,64,sigmoid,0.1,64,50,0.7054794520547946
1,64,sigmoid,0.1,64,70,0.684931506849315
1,64,tanh,0.001,16,10,0.7180365296803652
1,64,tanh,0.001,16,30,0.7808219178082192
1,64,tanh,0.001,16,50,0.8002283105022832
1,64,tanh,0.001,16,70,0.7888127853881278
1,64,tanh,0.001,32,10,0.6883561643835616
1,64,tanh,0.001,32,30,0.7705479452054794
1,64,tanh,0.001,32,50,0.7945205479452054
1,64,tanh,0.001,32,70,0.7899543378995434
1,64,tanh,0.001,64,10,0.6141552511415526
1,64,tanh,0.001,64,30,0.7374429223744292
1,64,tanh,0.001,64,50,0.7671232876712328
1,64,tanh,0.001,64,70,0.7728310502283106
1,64,tanh,0.01,16,10,0.7420091324200914
1,64,tanh,0.01,16,30,0.752283105022831
1,64,tanh,0.01,16,50,0.7876712328767124
1,64,tanh,0.01,16,70,0.7853881278538812
1,64,tanh,0.01,32,10,0.791095890410959
1,64,tanh,0.01,32,30,0.7899543378995434
1,64,tanh,0.01,32,50,0.7796803652968036
1,64,tanh,0.01,32,70,0.7796803652968036
1,64,tanh,0.01,64,10,0.7842465753424658
1,64,tanh,0.01,64,30,0.7659817351598174
1,64,tanh,0.01,64,50,0.7899543378995434
1,64,tanh,0.01,64,70,0.7602739726027398
1,64,tanh,0.1,16,10,0.4920091324200913
1,64,tanh,0.1,16,30,0.5079908675799086
1,64,tanh,0.1,16,50,0.5810502283105022
1,64,tanh,0.1,16,70,0.5924657534246576
1,64,tanh,0.1,32,10,0.5079908675799086
1,64,tanh,0.1,32,30,0.5513698630136986
1,64,tanh,0.1,32,50,0.6187214611872146
1,64,tanh,0.1,32,70,0.6278538812785388
1,64,tanh,0.1,64,10,0.5764840182648402
1,64,tanh,0.1,64,30,0.6529680365296804
1,64,tanh,0.1,64,50,0.6438356164383562
1,64,tanh,0.1,64,70,0.6997716894977168
1,128,relu,0.001,16,10,0.9029680365296804
1,128,relu,0.001,16,30,0.9223744292237442
1,128,relu,0.001,16,50,0.930365296803653
1,128,relu,0.001,16,70,0.9246575342465754
1,128,relu,0.001,32,10,0.8904109589041096
1,128,relu,0.001,32,30,0.9212328767123288
1,128,relu,0.001,32,50,0.9269406392694064
1,128,relu,0.001,32,70,0.9235159817351598
1,128,relu,0.001,64,10,0.8664383561643836
1,128,relu,0.001,64,30,0.9212328767123288
1,128,relu,0.001,64,50,0.9189497716894978
1,128,relu,0.001,64,70,0.9360730593607306
1,128,relu,0.01,16,10,0.8767123287671232
1,128,relu,0.01,16,30,0.9292237442922374
1,128,relu,0.01,16,50,0.9292237442922374
1,128,relu,0.01,16,70,0.9098173515981736
1,128,relu,0.01,32,10,0.9052511415525114
1,128,relu,0.01,32,30,0.9372146118721462
1,128,relu,0.01,32,50,0.934931506849315
1,128,relu,0.01,32,70,0.9372146118721462
1,128,relu,0.01,64,10,0.8949771689497716
1,128,relu,0.01,64,30,0.9223744292237442
1,128,relu,0.01,64,50,0.9440639269406392
1,128,relu,0.01,64,70,0.930365296803653
1,128,relu,0.1,16,10,0.8504566210045662
1,128,relu,0.1,16,30,0.906392694063927
1,128,relu,0.1,16,50,0.9075342465753424
1,128,relu,0.1,16,70,0.9018264840182648
1,128,relu,0.1,32,10,0.9018264840182648
1,128,relu,0.1,32,30,0.906392694063927
1,128,relu,0.1,32,50,0.8915525114155252
1,128,relu,0.1,32,70,0.9098173515981736
1,128,relu,0.1,64,10,0.8755707762557078
1,128,relu,0.1,64,30,0.8995433789954338
1,128,relu,0.1,64,50,0.9098173515981736
1,128,relu,0.1,64,70,0.8984018264840182
1,128,sigmoid,0.001,16,10,0.682648401826484
1,128,sigmoid,0.001,16,30,0.841324200913242
1,128,sigmoid,0.001,16,50,0.8310502283105022
1,128,sigmoid,0.001,16,70,0.8481735159817352
1,128,sigmoid,0.001,32,10,0.6255707762557078
