Learning Rate,Activation,Units per Layer,Hidden Layers,Epochs,Batch Size,Accuracy
0.1,sigmoid,128,1,70,32,0.6872146118721462
0.1,sigmoid,128,1,10,64,0.7397260273972602
0.1,sigmoid,128,1,30,64,0.7511415525114156
0.1,sigmoid,128,1,50,64,0.7397260273972602
0.1,sigmoid,128,1,70,64,0.7671232876712328
0.001,tanh,128,1,10,16,0.7602739726027398
0.001,tanh,128,1,30,16,0.7853881278538812
0.001,tanh,128,1,50,16,0.8013698630136986
0.001,tanh,128,1,70,16,0.7922374429223744
0.001,tanh,128,1,10,32,0.7420091324200914
0.001,tanh,128,1,30,32,0.773972602739726
0.001,tanh,128,1,50,32,0.7785388127853882
0.001,tanh,128,1,70,32,0.7808219178082192
0.001,tanh,128,1,10,64,0.7123287671232876
0.001,tanh,128,1,30,64,0.7671232876712328
0.001,tanh,128,1,50,64,0.7785388127853882
0.001,tanh,128,1,70,64,0.7648401826484018
0.01,tanh,128,1,10,16,0.8036529680365296
0.01,tanh,128,1,30,16,0.8036529680365296
0.01,tanh,128,1,50,16,0.8059360730593608
0.01,tanh,128,1,70,16,0.7968036529680366
0.01,tanh,128,1,10,32,0.8059360730593608
0.01,tanh,128,1,30,32,0.7945205479452054
0.01,tanh,128,1,50,32,0.7990867579908676
0.01,tanh,128,1,70,32,0.8105022831050228
0.01,tanh,128,1,10,64,0.7876712328767124
0.01,tanh,128,1,30,64,0.7968036529680366
0.01,tanh,128,1,50,64,0.776255707762557
0.01,tanh,128,1,70,64,0.7671232876712328
0.1,tanh,128,1,10,16,0.5639269406392694
0.1,tanh,128,1,30,16,0.6187214611872146
0.1,tanh,128,1,50,16,0.591324200913242
0.1,tanh,128,1,70,16,0.6141552511415526
0.1,tanh,128,1,10,32,0.6255707762557078
0.1,tanh,128,1,30,32,0.632420091324201
0.1,tanh,128,1,50,32,0.6529680365296804
0.1,tanh,128,1,70,32,0.6689497716894978
0.1,tanh,128,1,10,64,0.6643835616438356
0.1,tanh,128,1,30,64,0.632420091324201
0.1,tanh,128,1,50,64,0.6917808219178082
0.1,tanh,128,1,70,64,0.636986301369863
0.001,relu,256,1,10,16,0.8356164383561644
0.001,relu,256,1,30,16,0.865296803652968
0.001,relu,256,1,50,16,0.8721461187214612
0.001,relu,256,1,70,16,0.8698630136986302
0.001,relu,256,1,10,32,0.8493150684931506
0.001,relu,256,1,30,32,0.860730593607306
0.001,relu,256,1,50,32,0.865296803652968
0.001,relu,256,1,70,32,0.867579908675799
0.001,relu,256,1,10,64,0.819634703196347
0.001,relu,256,1,30,64,0.8515981735159818
0.001,relu,256,1,50,64,0.8561643835616438
0.001,relu,256,1,70,64,0.865296803652968
0.01,relu,256,1,10,16,0.771689497716895
0.01,relu,256,1,30,16,0.8858447488584474
0.01,relu,256,1,50,16,0.8721461187214612
